"pH","Ca-Cb (mol/L)"
3.993,2.76E-03
3.998,2.74E-03
4.002,2.71E-03
4.006,2.69E-03
4.131,2.09E-03
4.313,1.49E-03
4.4,1.27E-03
4.49,1.09E-03
4.581,9.35E-04
4.765,7.03E-04
4.822,6.39E-04
4.938,5.19E-04
5.153,3.51E-04
5.201,3.11E-04
5.371,1.84E-04
5.503,8.77E-05
5.787,-4.81E-05
5.858,-7.20E-05
5.938,-9.60E-05
6.084,-1.28E-04
6.165,-1.52E-04
6.257,-1.76E-04
6.407,-2.08E-04
6.62,-2.64E-04
6.714,-2.88E-04
6.953,-3.43E-04
7.215,-4.07E-04
7.46,-4.55E-04
7.594,-4.79E-04
7.714,-5.11E-04
7.78,-5.35E-04
8.068,-6.23E-04
8.295,-6.95E-04
8.488,-7.75E-04
8.646,-8.70E-04
8.824,-9.98E-04
8.99,-0.00114
9.122,-0.00131
9.284,-0.00154
9.436,-0.0018
9.565,-0.00211
9.689,-0.0025
9.81,-0.00299
9.929,-0.00359
10.02,-0.00418
10.097,-0.00478
10.163,-0.00538
10.22,-0.00597
10.271,-0.00657
10.316,-0.00716
10.359,-0.00776
10.396,-0.00835
10.433,-0.00894
10.465,-0.00954
10.495,-0.01013
10.524,-0.01072
